phenotype,celltype
CD8+CK+GB+Ki67+PD1+PDL1+,CD8+_Tcells TOTAL
CD8+CK+GB+Ki67+PD1+PDL1-,CD8+PD1+GB+Ki67+_Tcells
CD8+CK+GB+Ki67+PD1-PDL1+,CD8+_Tcells TOTAL
CD8+CK+GB+Ki67+PD1-PDL1-,CD8+GB+Ki67+_Tcells
CD8+CK+GB+Ki67-PD1+PDL1+,CD8+_Tcells TOTAL
CD8+CK+GB+Ki67-PD1+PDL1-,CD8+PD1+GB+_Tcells
CD8+CK+GB+Ki67-PD1-PDL1+,CD8+_Tcells TOTAL
CD8+CK+GB+Ki67-PD1-PDL1-,CD8+GB+_Tcells
CD8+CK+GB-Ki67+PD1+PDL1+,CD8+_Tcells TOTAL
CD8+CK+GB-Ki67+PD1+PDL1-,CD8+_Tcells TOTAL
CD8+CK+GB-Ki67+PD1-PDL1+,CD8+_Tcells TOTAL
CD8+CK+GB-Ki67+PD1-PDL1-,Ki67+_CD8+_Tcells
CD8+CK+GB-Ki67-PD1+PDL1+,CD8+_PD1+_PDL1+_Tcells
CD8+CK+GB-Ki67-PD1+PDL1-,PD1+_CD8+_Tcells
CD8+CK+GB-Ki67-PD1-PDL1+,CD8+_PDL1+_Tcells
CD8+CK+GB-Ki67-PD1-PDL1-,CD8+_Tcells
CD8+CK-GB+Ki67+PD1+PDL1+,CD8+_Tcells TOTAL
CD8+CK-GB+Ki67+PD1+PDL1-,CD8+PD1+GB+Ki67+_Tcells
CD8+CK-GB+Ki67+PD1-PDL1+,CD8+_Tcells TOTAL
CD8+CK-GB+Ki67+PD1-PDL1-,CD8+GB+Ki67+_Tcells
CD8+CK-GB+Ki67-PD1+PDL1+,CD8+_Tcells TOTAL
CD8+CK-GB+Ki67-PD1+PDL1-,CD8+PD1+GB+_Tcells
CD8+CK-GB+Ki67-PD1-PDL1+,CD8+_Tcells TOTAL
CD8+CK-GB+Ki67-PD1-PDL1-,CD8+GB+_Tcells
CD8+CK-GB-Ki67+PD1+PDL1+,CD8+_Tcells TOTAL
CD8+CK-GB-Ki67+PD1+PDL1-,CD8+_Tcells TOTAL
CD8+CK-GB-Ki67+PD1-PDL1+,CD8+_Tcells TOTAL
CD8+CK-GB-Ki67+PD1-PDL1-,Ki67+_CD8+_Tcells
CD8+CK-GB-Ki67-PD1+PDL1+,CD8+_PD1+_PDL1+_Tcells
CD8+CK-GB-Ki67-PD1+PDL1-,PD1+_CD8+_Tcells
CD8+CK-GB-Ki67-PD1-PDL1+,CD8+_PDL1+_Tcells
CD8+CK-GB-Ki67-PD1-PDL1-,CD8+_Tcells
CD8-CK+GB+Ki67+PD1+PDL1+,other
CD8-CK+GB+Ki67+PD1+PDL1-,other
CD8-CK+GB+Ki67+PD1-PDL1+,other
CD8-CK+GB+Ki67+PD1-PDL1-,other
CD8-CK+GB+Ki67-PD1+PDL1+,other
CD8-CK+GB+Ki67-PD1+PDL1-,other
CD8-CK+GB+Ki67-PD1-PDL1+,other
CD8-CK+GB+Ki67-PD1-PDL1-,GB+
CD8-CK+GB-Ki67+PD1+PDL1+,other
CD8-CK+GB-Ki67+PD1+PDL1-,other
CD8-CK+GB-Ki67+PD1-PDL1+,CK+_Ki67+_PDL1+
CD8-CK+GB-Ki67+PD1-PDL1-,Ki67+_CK+
CD8-CK+GB-Ki67-PD1+PDL1+,other
CD8-CK+GB-Ki67-PD1+PDL1-,PD1+
CD8-CK+GB-Ki67-PD1-PDL1+,CK+_PDL1+
CD8-CK+GB-Ki67-PD1-PDL1-,Epithelial cells
CD8-CK-GB+Ki67+PD1+PDL1+,other
CD8-CK-GB+Ki67+PD1+PDL1-,other
CD8-CK-GB+Ki67+PD1-PDL1+,other
CD8-CK-GB+Ki67+PD1-PDL1-,other
CD8-CK-GB+Ki67-PD1+PDL1+,other
CD8-CK-GB+Ki67-PD1+PDL1-,other
CD8-CK-GB+Ki67-PD1-PDL1+,other
CD8-CK-GB+Ki67-PD1-PDL1-,GB+
CD8-CK-GB-Ki67+PD1+PDL1+,other
CD8-CK-GB-Ki67+PD1+PDL1-,other
CD8-CK-GB-Ki67+PD1-PDL1+,other
CD8-CK-GB-Ki67+PD1-PDL1-,Ki67+
CD8-CK-GB-Ki67-PD1+PDL1+,other
CD8-CK-GB-Ki67-PD1+PDL1-,PD1+
CD8-CK-GB-Ki67-PD1-PDL1+,PDL1+
CD8-CK-GB-Ki67-PD1-PDL1-,Stromal cells
